"class","theme","prompt","output"
"Class 9-10","Mechanics Heat Sound Light Electricity","What is inertia? Give an example.","Inertia is the tendency of an object to resist changes in its state of motion. Example: When a bus suddenly starts passengers tend to fall backward due to the inertia of rest."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Newton's Second Law of Motion. Give the formula.","The rate of change of momentum of an object is directly proportional to the applied unbalanced force and takes place in the direction of the force. Formula: F = ma (Force = mass × acceleration)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define momentum. What is its SI unit?","Momentum (p) is the product of an object's mass (m) and velocity (v). Formula: p = mv. Its SI unit is kilogram-meter per second (kg m/s)."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Newton's Third Law of Motion.","For every action there is an equal and opposite reaction."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the difference between distance and displacement?","Distance is the total path length covered by an object. Displacement is the shortest straight-line distance between the initial and final positions including direction. Distance is scalar displacement is vector."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the difference between speed and velocity?","Speed is the rate of change of distance (scalar). Velocity is the rate of change of displacement (vector includes direction)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define acceleration. What is its SI unit?","Acceleration is the rate of change of velocity. Formula: a = (v - u) / t where v is final velocity u is initial velocity t is time. Its SI unit is meters per second squared (m/s²)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Write the three equations of motion for uniformly accelerated linear motion.","1. v = u + at 2. s = ut + ½at² 3. v² = u² + 2as (where u=initial velocity v=final velocity a=acceleration t=time s=displacement)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is work done in physics? Give the formula.","Work is done when a force causes a displacement of an object in the direction of the force. Formula: W = F × s × cos(θ) where F is force s is displacement and θ is the angle between force and displacement. If force and displacement are in the same direction W = F × s. SI unit is Joule (J)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define energy. What is its SI unit?","Energy is the capacity to do work. Its SI unit is the Joule (J)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is kinetic energy? Give the formula.","Kinetic energy (KE) is the energy possessed by an object due to its motion. Formula: KE = ½mv² where m is mass and v is velocity."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is potential energy? Give the formula for gravitational potential energy near Earth's surface.","Potential energy (PE) is the energy stored in an object due to its position or configuration. Gravitational Potential Energy (near Earth) = mgh where m is mass g is acceleration due to gravity and h is height."
"Class 9-10","Mechanics Heat Sound Light Electricity","State the Law of Conservation of Energy.","Energy can neither be created nor destroyed; it can only be transformed from one form to another. The total energy in an isolated system remains constant."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define power. What is its SI unit?","Power is the rate at which work is done or energy is transferred. Formula: P = Work / Time = Energy / Time. Its SI unit is the Watt (W). (1 Watt = 1 Joule/second)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is meant by '1 horsepower'?","Horsepower (hp) is another unit of power. 1 horsepower is approximately equal to 746 Watts."
"Class 9-10","Mechanics Heat Sound Light Electricity","State the Universal Law of Gravitation (Newton's Law of Gravitation).","Every object in the universe attracts every other object with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers. Formula: F = G (m₁m₂ / r²) where G is the universal gravitational constant."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the difference between mass and weight?","Mass is the amount of matter in an object (scalar constant everywhere unit kg). Weight is the gravitational force acting on an object (vector depends on gravity 'g' unit Newton N). Formula: Weight (W) = mass (m) × acceleration due to gravity (g)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is acceleration due to gravity (g)? What is its approximate value on Earth?","It is the acceleration produced in a freely falling body due to Earth's gravitational pull. Its approximate average value on the Earth's surface is 9.8 m/s²."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is buoyancy? State Archimedes' Principle.","Buoyancy is the upward force exerted by a fluid (liquid or gas) that opposes the weight of an immersed object. Archimedes' Principle states that the buoyant force on an object immersed in a fluid is equal to the weight of the fluid displaced by the object."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define density. What is its SI unit?","Density is the mass per unit volume of a substance. Formula: Density (ρ) = Mass (m) / Volume (V). Its SI unit is kilograms per cubic meter (kg/m³)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Explain the characteristics of sound waves (loudness pitch quality/timbre).","Loudness depends on the amplitude of the wave (larger amplitude = louder sound). Pitch depends on the frequency (higher frequency = higher pitch). Quality or Timbre distinguishes between sounds of the same loudness and pitch produced by different sources (depends on the waveform/harmonics)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the audible range of frequency for humans?","The typical audible range for humans is from about 20 Hertz (Hz) to 20000 Hertz (20 kHz)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What are ultrasound and infrasound?","Ultrasound refers to sound waves with frequencies above 20 kHz (beyond human hearing). Infrasound refers to sound waves with frequencies below 20 Hz (below human hearing)."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is reflection of sound? Give an application.","Reflection of sound is the bouncing back of sound waves from a surface. An application is echo (hearing the reflected sound) or SONAR (Sound Navigation and Ranging)."
"Class 9-10","Mechanics Heat Sound Light Electricity","State the laws of reflection of light.","1. The angle of incidence (i) is equal to the angle of reflection (r). (∠i = ∠r). 2. The incident ray the reflected ray and the normal to the surface at the point of incidence all lie in the same plane."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is refraction of light? Why does it happen?","Refraction is the bending of light as it passes from one medium to another (e.g. from air to water). It happens because the speed of light changes in different media."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Snell's Law of Refraction.","The ratio of the sine of the angle of incidence (i) to the sine of the angle of refraction (r) is constant for a given pair of media and a given colour of light. This constant is the refractive index of the second medium with respect to the first. Formula: sin(i) / sin(r) = constant = n₂₁."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the refractive index?","Refractive index (n) of a medium is the ratio of the speed of light in vacuum (c) to the speed of light in that medium (v). Formula: n = c/v. It indicates how much light bends when entering the medium."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is dispersion of light? What causes it?","Dispersion is the splitting of white light into its constituent colours (VIBGYOR - Violet Indigo Blue Green Yellow Orange Red) when it passes through a prism. It is caused because the refractive index of the prism material is slightly different for different colours (wavelengths) of light causing them to bend at slightly different angles."
"Class 9-10","Mechanics Heat Sound Light Electricity","Explain the working of the human eye (briefly).","Light enters through the cornea passes through the pupil (controlled by the iris) is focused by the eye lens onto the retina. The retina contains light-sensitive cells (rods and cones) that convert light into electrical signals which are sent to the brain via the optic nerve allowing us to see."
"Class 9-10","Mechanics Heat Sound Light Electricity","What are myopia (near-sightedness) and hypermetropia (far-sightedness)? How are they corrected?","Myopia: Can see near objects clearly but distant objects are blurry. Image forms in front of the retina. Corrected using a concave lens. Hypermetropia: Can see distant objects clearly but near objects are blurry. Image forms behind the retina. Corrected using a convex lens."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define electric current. What is its SI unit?","Electric current (I) is the rate of flow of electric charge (Q) through a conductor. Formula: I = Q / t. Its SI unit is the Ampere (A). (1 Ampere = 1 Coulomb/second)."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define potential difference (voltage). What is its SI unit?","Potential difference (V) between two points is the work done (W) per unit charge (Q) in moving the charge between those points. Formula: V = W / Q. Its SI unit is the Volt (V). (1 Volt = 1 Joule/Coulomb)."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Ohm's Law. Give the formula.","Ohm's Law states that the current (I) flowing through a conductor is directly proportional to the potential difference (V) across its ends provided the temperature and other physical conditions remain unchanged. Formula: V = IR where R is the resistance."
"Class 9-10","Mechanics Heat Sound Light Electricity","Define resistance. What is its SI unit? What factors does it depend on?","Resistance (R) is the opposition offered by a conductor to the flow of electric current. Its SI unit is the Ohm (Ω). Resistance depends on the length (L) of the conductor (R ∝ L) the cross-sectional area (A) (R ∝ 1/A) the nature of the material (resistivity ρ) and temperature. Formula: R = ρL/A."
"Class 9-10","Mechanics Heat Sound Light Electricity","Explain series and parallel combinations of resistors. How is the equivalent resistance calculated?","Series: Resistors connected end-to-end same current flows through all. Equivalent Resistance (Rs) = R₁ + R₂ + R₃ + ... Parallel: Resistors connected across the same two points same voltage across all. Equivalent Resistance (Rp) is given by: 1/Rp = 1/R₁ + 1/R₂ + 1/R₃ + ..."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Joule's Law of Heating. Give the formula for heat produced.","Joule's Law states that the heat (H) produced in a conductor is directly proportional to (i) the square of the current (I²) flowing through it (ii) the resistance (R) of the conductor and (iii) the time (t) for which the current flows. Formula: H = I²Rt."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is the magnetic effect of electric current? Who discovered it?","An electric current flowing through a conductor produces a magnetic field around it. This was discovered by Hans Christian Oersted."
"Class 9-10","Mechanics Heat Sound Light Electricity","What is Fleming's Left-Hand Rule used for? State the rule.","Used to find the direction of the force experienced by a current-carrying conductor placed in a magnetic field (basis of electric motors). Rule: Stretch the thumb forefinger and middle finger of your left hand mutually perpendicular. If the forefinger points in the direction of the magnetic field (B) and the middle finger points in the direction of the current (I) then the thumb points in the direction of the force (F). (FBI -> Force B-field I-current)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is the difference between scalar and vector quantities? Give examples.","Scalar quantities have only magnitude (e.g. distance speed mass temperature energy). Vector quantities have both magnitude and direction (e.g. displacement velocity acceleration force momentum)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","How do you add vectors? (Triangle Law or Parallelogram Law)","Triangle Law: If two vectors are represented by two sides of a triangle taken in order their resultant is represented by the third side taken in the opposite order. Parallelogram Law: If two vectors are represented by two adjacent sides of a parallelogram drawn from a point their resultant is represented by the diagonal passing through that point. Mathematically |R| = √(A² + B² + 2ABcosθ)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is projectile motion? What is the shape of the trajectory?","Projectile motion is the motion of an object thrown into the air subject only to the acceleration due to gravity (neglecting air resistance). The trajectory (path) is a parabola."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define centripetal force. Give the formula.","Centripetal force is the force required to keep an object moving in a circular path. It always acts towards the center of the circle. Formula: Fc = mv²/r where m is mass v is speed and r is the radius of the circle."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State the Law of Conservation of Linear Momentum.","In the absence of an external unbalanced force the total linear momentum of an isolated system remains constant (conserved)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is impulse? How is it related to momentum?","Impulse (J) is the product of force (F) and the time interval (Δt) over which it acts (J = FΔt). According to the impulse-momentum theorem impulse is equal to the change in momentum (Δp) of the object (J = Δp = mv - mu)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define torque (moment of force). Give the formula.","Torque (τ) is the rotational equivalent of linear force. It measures the tendency of a force to cause rotation about an axis. Formula: τ = rFsin(θ) where r is the distance from the axis to the point of force application F is the force and θ is the angle between r and F. In vector form: τ = r × F."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define angular momentum (L). State the law of conservation of angular momentum.","Angular momentum (L) is the rotational equivalent of linear momentum. For a point mass L = Iω = mvr (where I is moment of inertia ω is angular velocity). Law: In the absence of an external torque the total angular momentum of an isolated system remains constant."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is moment of inertia (I)?","Moment of inertia is the rotational equivalent of mass. It measures an object's resistance to changes in its rotational motion. It depends on the mass distribution relative to the axis of rotation. Formula for a point mass: I = mr²."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State Kepler's Laws of Planetary Motion.","1. Law of Orbits: Planets revolve around the Sun in elliptical orbits with the Sun at one focus. 2. Law of Areas: The line joining the Sun to a planet sweeps out equal areas in equal intervals of time (implies angular momentum conservation). 3. Law of Periods: The square of the orbital period (T) of a planet is directly proportional to the cube of the semi-major axis (a) of its orbit (T² ∝ a³)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define stress and strain. State Hooke's Law.","Stress is the internal restoring force per unit area in a deformed body. Strain is the fractional change in dimension (length volume shape) due to stress. Hooke's Law states that within the elastic limit stress is directly proportional to strain (Stress = E × Strain where E is the modulus of elasticity)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State the First Law of Thermodynamics.","The First Law is a statement of conservation of energy for thermodynamic systems. It states that the change in internal energy (ΔU) of a system is equal to the heat added to the system (Q) minus the work done by the system (W). Formula: ΔU = Q - W."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State the Second Law of Thermodynamics (Clausius and Kelvin-Planck statements).","Clausius Statement: It is impossible to construct a device that operates in a cycle and produces no effect other than the transfer of heat from a colder body to a hotter body. Kelvin-Planck Statement: It is impossible to construct a device operating in a cycle that extracts heat from a single reservoir and converts it entirely into work. (Essentially heat engines cannot be 100% efficient)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is simple harmonic motion (SHM)? Give its defining equation.","SHM is a type of periodic motion where the restoring force is directly proportional to the displacement from the mean position and acts in the opposite direction. Defining equation: F = -kx or a = -ω²x where 'a' is acceleration 'x' is displacement and ω is angular frequency."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is a wave? Differentiate between transverse and longitudinal waves.","A wave is a disturbance that transfers energy through a medium or vacuum. Transverse waves: Particles of the medium oscillate perpendicular to the direction of wave propagation (e.g. light waves waves on a string). Longitudinal waves: Particles oscillate parallel to the direction of wave propagation (e.g. sound waves in air)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Explain the Doppler Effect.","The Doppler Effect is the apparent change in frequency (and wavelength) of a wave perceived by an observer when there is relative motion between the source of the wave and the observer. (e.g. change in pitch of an ambulance siren as it passes)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is superposition principle for waves? Explain interference.","Superposition Principle: When two or more waves overlap the resultant displacement at any point is the vector sum of the displacements due to individual waves. Interference: The modification in the distribution of wave intensity due to superposition. Constructive interference occurs when waves add up (crest meets crest) destructive interference when they cancel out (crest meets trough)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is diffraction of waves?","Diffraction is the bending of waves as they pass around obstacles or through narrow openings. It is noticeable when the size of the obstacle/opening is comparable to the wavelength of the wave."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is polarization of light?","Polarization is a property of transverse waves (like light) that specifies the geometrical orientation of the oscillations. Unpolarized light has oscillations in all directions perpendicular to propagation. A polarizer allows oscillations in only one specific plane to pass through. Longitudinal waves (like sound) cannot be polarized."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Explain Gauss's Law in electrostatics.","Gauss's Law states that the total electric flux (Φ) through any closed surface (Gaussian surface) is equal to 1/ε₀ times the net electric charge (q_enclosed) enclosed by the surface. Formula: Φ = ∫ E · dA = q_enclosed / ε₀."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define capacitance. What is the formula for a parallel plate capacitor?","Capacitance (C) is the ability of a system (capacitor) to store electric charge. It's the ratio of charge (Q) stored to the potential difference (V) across it. Formula: C = Q/V. SI unit is Farad (F). For a parallel plate capacitor: C = ε₀A/d (in vacuum) where A is plate area and d is separation."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State Kirchhoff's Laws for electric circuits.","1. Junction Rule (Current Law): The algebraic sum of currents entering a junction is equal to the algebraic sum of currents leaving the junction (conservation of charge). ΣI_in = ΣI_out. 2. Loop Rule (Voltage Law): The algebraic sum of changes in potential difference around any closed loop in a circuit must be zero (conservation of energy). ΣΔV = 0."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State Biot-Savart Law. What is it used for?","Biot-Savart Law gives the magnetic field (dB) produced at a point due to a small current element (Idl). Formula: dB = (μ₀/4π) * (Idl × r̂) / r² where r̂ is the unit vector from the element to the point. It's used to calculate the magnetic field due to various current distributions."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State Ampere's Circuital Law.","Ampere's Law relates the integrated magnetic field around a closed loop (Amperian loop) to the electric current passing through the loop. Formula: ∮ B · dl = μ₀I_enclosed where I_enclosed is the net current enclosed by the loop."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is electromagnetic induction? State Faraday's Law.","Electromagnetic induction is the production of an electromotive force (EMF) across an electrical conductor in a changing magnetic field. Faraday's Law states that the magnitude of the induced EMF (ε) in any closed circuit is equal to the rate of change of the magnetic flux (Φ_B) through the circuit. Formula: ε = -dΦ_B/dt. (The negative sign indicates the direction given by Lenz's Law)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","State Lenz's Law.","Lenz's Law states that the direction of the induced current (and induced EMF) is such that it opposes the change in magnetic flux that produced it. (Conservation of energy)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What are eddy currents? Are they useful or harmful?","Eddy currents are loops of electric current induced within conductors by a changing magnetic field following Lenz's law. They can be harmful (cause heating and energy loss in transformers motors) but also useful (magnetic braking induction furnaces)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is alternating current (AC)? Define RMS value.","AC is an electric current whose magnitude and direction vary periodically typically sinusoidally. The RMS (Root Mean Square) value of AC is the equivalent DC value that would produce the same heating effect. For sinusoidal AC V_rms = V_peak / √2 and I_rms = I_peak / √2."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is impedance (Z) in an AC circuit?","Impedance is the total effective resistance of an AC circuit considering the combined effect of resistance (R) inductive reactance (XL = ωL) and capacitive reactance (XC = 1/ωC). Formula for series LCR: Z = √(R² + (XL - XC)²). Unit is Ohm (Ω)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is resonance in a series LCR circuit? What is the condition for it?","Resonance occurs when the impedance of the circuit is minimum (and current is maximum) because the inductive reactance (XL) equals the capacitive reactance (XC). Condition: XL = XC or ωL = 1/ωC. Resonant frequency ω₀ = 1/√(LC)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What are electromagnetic waves? List their properties.","EM waves are disturbances consisting of oscillating electric and magnetic fields propagating through space carrying energy. Properties: Transverse travel at speed of light (c) in vacuum do not require a medium carry energy and momentum exhibit reflection refraction interference diffraction polarization. Spectrum includes radio waves microwaves infrared visible light ultraviolet X-rays gamma rays."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Explain the photoelectric effect. What did it establish?","The photoelectric effect is the emission of electrons (photoelectrons) from a material when light shines on it. Key observations (threshold frequency instantaneous emission kinetic energy depends on frequency not intensity) could not be explained by wave theory. Einstein explained it using Planck's quantum theory proposing that light consists of particles (photons) with energy E = hf. It established the particle nature of light."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is the de Broglie hypothesis? Give the formula for wavelength.","De Broglie proposed that matter particles (like electrons) also exhibit wave-like properties. The wavelength (λ) associated with a particle is inversely proportional to its momentum (p). Formula: λ = h/p = h/mv where h is Planck's constant. This established wave-particle duality."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Describe Bohr's model of the hydrogen atom (key postulates).","1. Electrons revolve around the nucleus in specific stable circular orbits without radiating energy. 2. Angular momentum of the electron in these orbits is quantized: L = mvr = nh/(2π) where n is the principal quantum number (1 2 3...). 3. Electrons emit or absorb energy (photons) only when they jump from one allowed orbit to another. Energy of photon = hf = E_final - E_initial."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is radioactivity? Name the three types of radioactive emissions.","Radioactivity is the spontaneous disintegration of unstable atomic nuclei resulting in the emission of radiation. The three main types are: Alpha (α) particles (Helium nuclei) Beta (β) particles (electrons or positrons) and Gamma (γ) rays (high-energy photons)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","Define half-life of a radioactive substance.","Half-life (T½) is the time taken for half of the radioactive nuclei in a given sample to decay."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is nuclear fission and nuclear fusion? Give examples.","Nuclear Fission: The splitting of a heavy nucleus (like Uranium-235) into two or more lighter nuclei releasing a large amount of energy. Used in nuclear reactors and atomic bombs. Nuclear Fusion: The combining (fusing) of two light nuclei (like hydrogen isotopes) to form a heavier nucleus releasing even more energy. Powers the Sun and stars; basis of hydrogen bombs."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What are semiconductors? Give examples. Differentiate between intrinsic and extrinsic semiconductors.","Semiconductors are materials with electrical conductivity between conductors and insulators (e.g. Silicon - Si Germanium - Ge). Intrinsic semiconductors are pure. Extrinsic semiconductors are doped with impurities to increase conductivity: n-type (doped with pentavalent atoms electrons are majority carriers) and p-type (doped with trivalent atoms holes are majority carriers)."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is a p-n junction diode? Explain its forward and reverse biasing.","A p-n junction is formed by joining p-type and n-type semiconductors. Forward Biasing: Positive terminal of battery connected to p-side negative to n-side. Depletion region narrows allows large current flow. Reverse Biasing: Positive terminal to n-side negative to p-side. Depletion region widens allows very small (or negligible) current flow. Acts like a one-way switch for current."
"Class 11-12","Advanced Mechanics Thermodynamics Waves Optics Electromagnetism Modern Physics","What is a transistor? What is it used for?","A transistor is a semiconductor device typically with three terminals (emitter base collector) usually made of two p-n junctions back-to-back (pnp or npn). It is used primarily as an amplifier (to increase the strength of a signal) or as an electronic switch."
